,V1v,V1d,V2v,V2d,V3v,V3d,hV4,EBA,FBA-1,FBA-2,mTL-bodies,OFA,FFA-1,FFA-2,mTL-faces,aTL-faces,OPA,PPA,RSC,OWFA,VWFA-1,VWFA-2,mfs-words,mTL-words,early,midventral,midlateral,midparietal,ventral,lateral,parietal,All vertices,Unknown ROI,Unknown Stream,Unknown
ZFNet+features.stage3.unit1.activ+imagenet_V2_transform+ridge,0.6298175661677059,0.6547357484499939,0.6084949716102207,0.6179522397544731,0.5767424991788821,0.539527638306457,0.4815381347024117,0.3757898667714996,0.4058023332683984,0.4581826186487334,,0.4155574108324304,0.4482828392950981,0.4814252478465228,,,0.4208281756035549,0.4836237793852085,0.6047019232012507,0.4457447278363572,0.2946854511672171,0.2829348760568024,0.2544833946353197,,0.5698714299117463,0.4883934738529323,0.4367742831916004,0.4293993830962102,0.4105846608135548,0.3743593290577845,0.3501967563971132,0.4349118573072619,0.3687900376767599,0.5721235618875422,0.4669944300837
ZFNet+features.stage3.unit1.activ+imagenet_transform_alt+ridge,0.6351265072690501,0.6530820049599626,0.6128386110065944,0.6239178999932828,0.586825652131572,0.5441803146786184,0.4789176179934963,0.3542604875214657,0.3866767306515303,0.4337721135275698,,0.4065425027489763,0.4291705467569737,0.461928156369934,,,0.4030175511534807,0.461099766824302,0.5861184021302368,0.451135190052482,0.274109465642106,0.2684334493117453,0.2440892715869347,,0.5698405472359264,0.4870282941118756,0.4281574265439998,0.4144271883379969,0.3875088669213926,0.3518330487610981,0.3253971236267894,0.4174604945361684,0.3433292517447815,0.5675783243828895,0.4374409133548713
ZFNet+features.stage3.unit2.activ+imagenet_V2_transform+ridge,0.5557954820444138,0.5906846608215196,0.5797790385958911,0.6020262558970608,0.5561310619459695,0.5415143793035272,0.5104168353754455,0.4404721496292972,0.468315701662131,0.5258517711149309,,0.4382014824002216,0.5218555903945659,0.5438175042768428,,,0.4750319902984135,0.542067713396376,0.6493569682108742,0.4529902157118882,0.3420208617388232,0.3266183793876251,0.2993865591675637,,0.5411088102235424,0.5001687617050842,0.4673908071175449,0.4826202455488283,0.4701881740063688,0.4418512182256734,0.4114648399120831,0.4766691223603112,0.4259397296983827,0.5540933658727011,0.5283105622161431
ZFNet+features.stage3.unit2.activ+imagenet_transform_alt+ridge,0.576819419064277,0.6059264521437434,0.6077575078903856,0.618807810647826,0.5827511374852552,0.5542797036332348,0.515888437699605,0.4299144182432926,0.4540496790803202,0.5156531921024916,,0.4363672730625385,0.5112717090743043,0.5341980154340445,,,0.463739841798229,0.5220380950845661,0.6411416616159025,0.4640628589270179,0.3216004214758106,0.3085143173719836,0.2851324071830218,,0.5554419289137417,0.5152033685639323,0.4734724766198965,0.4720807344158988,0.4516517765090033,0.4277672846022264,0.3943336981254103,0.4703618948993167,0.4077934215690756,0.5654738483404054,0.5096514794559486
ZFNet+features.stage3.unit3.activ+imagenet_V2_transform+ridge,0.448490570228963,0.50012654551519,0.4864691041641734,0.5435664107400463,0.4579492174441029,0.4892886337967976,0.4768340167138341,0.4732002488632691,0.4825762455647826,0.5472343119368642,,0.4180889858911802,0.5590098412178643,0.5864250907662245,,,0.4988665027383391,0.5770280707964461,0.6675399018932439,0.3872101536157444,0.3683824094671405,0.3451471981362873,0.3346934568177726,,0.4540856709033244,0.4370176656455524,0.4363037323849615,0.4997811059403667,0.4863015746133308,0.4728150732960369,0.4190726549391478,0.4659951597023436,0.4255036800657135,0.478341587241484,0.5068827130978176
ZFNet+features.stage3.unit3.activ+imagenet_transform_alt+linear,0.4126685461159014,0.4577403227446636,0.4472474783701682,0.4898436414175111,0.4098727069132243,0.430222678952904,0.3903784725874082,0.3741677858438189,0.3428962870029176,0.4246923746810275,,0.3299161510965988,0.433865512121017,0.5058848647124816,,,0.3612506643438896,0.4402697746079944,0.5467517312157938,0.3263437939592362,0.2573224194835273,0.2031887196050484,0.1935548829088403,,0.3900122480057845,0.3690797141618305,0.3444637154357073,0.3839552483446732,0.3455831186075068,0.3610815201997698,0.297354714752454,0.3587957733539927,0.2974898778029228,0.4055753102589912,0.3529063779286037
alexnet+features.1+imagenet_V2_transform+ridge,0.5385767529262311,0.5533631726974716,0.428183604806257,0.4446337004559422,0.3860193888468295,0.3666647233151954,0.3164778503272745,0.1496796755082279,0.1902264221532032,0.190429081852316,,0.2276442178191916,0.2026874549316645,0.2081162543147396,,,0.2374819039461271,0.2602071865767088,0.3541367085235909,0.2736033722800163,0.1257343978704558,0.1322284726907596,0.1237803192957598,,0.4249788739192514,0.3139326959001325,0.2488314617910625,0.2475671922054265,0.2043379165512728,0.1525437159329837,0.1746281687693824,0.2383052061131086,0.1874429388481845,0.4017130513161524,0.2477278312771374
alexnet+features.1+imagenet_transform_alt+linear,0.5631603824983581,0.5662264439148852,0.3943813800750355,0.3955719510378407,0.32720613418067,0.3117639576992969,0.236218813579952,0.1030010363388503,0.1423588106649214,0.1540123763649963,,0.1738336866991251,0.15637725666468,0.1766110123703582,,,0.1489415087175667,0.1879093511211605,0.2989357792147419,0.2097882784754874,0.0722527541326981,0.0620951736889772,0.0490079643346337,,0.3538771150650016,0.241027737511582,0.1688849805786705,0.1627277050525182,0.1286780877270025,0.1028096988231616,0.0975133301814242,0.1604479415969048,0.1054084880746872,0.3273581543285269,0.1520644992245855
alexnet+features.1+imagenet_transform_alt+ridge,0.5207506378205192,0.5427863452990114,0.4091109053575081,0.4341515593489164,0.3665441560721773,0.3523275141079036,0.3072703493918599,0.1454677957011399,0.1876983478178763,0.1905823033662936,,0.2254823148791317,0.2066100133147753,0.2067737191669818,,,0.2311683862753022,0.2539692857474916,0.3457886049702801,0.2648584855405358,0.1217204086854177,0.1313070682437468,0.1168807758547187,,0.4091817416906603,0.3027136767801607,0.2401296098872445,0.2422570935163328,0.2009886718762482,0.148854439811848,0.1719671932727876,0.2316967056967259,0.1832792152747521,0.3849719733894752,0.2387719344610405
alexnet+features.10&features.11&features.12+imagenet_V2_transform+ridge,0.4420166766857336,0.4773563992792191,0.4656337832486193,0.5181260286721463,0.4458757705910638,0.4684222010743574,0.4855951769539071,0.4737800164600648,0.5067367087109833,0.5605921301606653,,0.4122253138957772,0.5680147205857763,0.5839401406168033,,,0.4977990951871186,0.5652001130162003,0.6515065174038422,0.3908730503418594,0.37439436768835,0.3595795550950403,0.3405164061616013,,0.4498557491318348,0.4422114841612481,0.4280018604330557,0.4887512949792539,0.4980368733606604,0.4729127112270586,0.4296300116046317,0.4693542338090883,0.4357995797521765,0.4735845276489806,0.5332872184238402
alexnet+features.10&features.11&features.12+imagenet_transform_alt+linear,0.4403390448138167,0.4803415030453167,0.4746744761792775,0.5070102234779834,0.4269840440840686,0.4328393623683316,0.3518710598875132,0.3117652860742704,0.2673437047585629,0.3466271916563932,,0.2901361151745429,0.3486544105426408,0.4312192444332154,,,0.3069348130545206,0.3702681301017815,0.4784182403197158,0.3096433601779601,0.2090532257247829,0.1687770036370251,0.1601625687040271,,0.398880904482495,0.3512622273679983,0.3205458155392829,0.3275616481994596,0.2829329338881714,0.2956226137039034,0.2428083899176018,0.3134803178999872,0.2464721466316362,0.4067357591709984,0.3156794231655196
alexnet+features.10&features.11&features.12+imagenet_transform_alt+ridge,0.4962070455404216,0.5368483154589409,0.5386632582381897,0.5807707901776201,0.5040330919031669,0.5117384769845561,0.4683407924109473,0.4246373650059294,0.4322875492500989,0.4884421404115999,,0.3879563471323708,0.4869228251167626,0.5349826507473378,,,0.4515854857355945,0.5097437220244907,0.5954713508023677,0.4066412670661606,0.3115241504640044,0.2844511124117337,0.2744344496168205,,0.4839758228816849,0.4529507606127262,0.4412277496113365,0.4585779243632273,0.4310978324546163,0.4195468057594714,0.3796667882874922,0.4400405677044177,0.3903244048871106,0.501129800722528,0.465044170237304
alexnet+features.11&features.12+imagenet_transform_alt+linear,0.4591784838360812,0.4925827895003957,0.5049060776038351,0.545632951043056,0.4612817346713257,0.4795623972955678,0.4436989217093512,0.4078051757710914,0.4024178282064544,0.4725872277723059,,0.3648855202381077,0.4755086160094642,0.5208961354461749,,,0.4352649530207434,0.4976844525795512,0.5873953607455413,0.3752264027573206,0.2927545523257229,0.2489421114884233,0.2521692877928214,,0.4444607812915564,0.4168063250875989,0.4112621560967705,0.4396637356831281,0.4113933740745363,0.4023313147667521,0.35804781232988,0.4149591166834834,0.3673355370183732,0.4633603316782592,0.4325270897134901
alexnet+features.11+imagenet_V2_transform+ridge,0.4068109978137957,0.43566503262723,0.4215433102352682,0.4755633235380548,0.4137712851585202,0.4340818268312673,0.4596217117343634,0.4592545166381078,0.4945580924384837,0.5437001981822771,,0.3888162753177634,0.5497115560528192,0.562860203486877,,,0.4840597956955243,0.5536297038321305,0.6359189752216893,0.3650908138581954,0.3618773318508824,0.3583047146201701,0.3353963252551487,,0.4195593757042994,0.4163619328313345,0.4017390104954161,0.4642828905953189,0.4888944795861422,0.4630278065014787,0.4186493462521251,0.4516380995099868,0.4249677689973825,0.442408944536252,0.5268328452653864
alexnet+features.11+imagenet_transform_alt+linear,0.4410481822567357,0.4808326550911233,0.4758688682356579,0.5054782488006417,0.4249727854493118,0.4307848496301589,0.3495365051437418,0.306493788758359,0.2629681574023539,0.3407330107374144,,0.2886927543157333,0.3454474664577211,0.4170765292212131,,,0.3056896139681312,0.3624028577330053,0.4725890283891455,0.306990743639801,0.20912295887139,0.170674584555259,0.1573115540506046,,0.398653198944286,0.3520294366317432,0.3221785171722485,0.3279793104521316,0.2809568846380075,0.2906582759125949,0.2425481659937597,0.311526140218448,0.2455500467106617,0.4063176912364855,0.3113331697623877
alexnet+features.11+imagenet_transform_alt+ridge,0.4762590947182429,0.5192397470658534,0.5235786820390892,0.5686229430917393,0.4971545216291729,0.5035936853407406,0.4706047175533948,0.422336070524366,0.4470339752520451,0.4898619841658444,,0.3870912050781246,0.4871870206237088,0.5278094510695631,,,0.4615955166100256,0.5123094595032505,0.5950345786779488,0.4060977296527042,0.3174599859441497,0.3018521575872414,0.2867555747234722,,0.4823020852851109,0.4498094082633657,0.4399438862038197,0.4640852046961662,0.4434530070165398,0.4217576257230704,0.3928689431217582,0.4458197316218646,0.4031424602744836,0.4996661527958274,0.4767935530355183
alexnet+features.12+imagenet_V2_transform+ridge,0.3790884723640744,0.3973045227985194,0.3964502193005129,0.4391215329186728,0.3926324348233297,0.4295425257552206,0.4693216963109969,0.4704634315488911,0.509852104684672,0.5637137293745837,,0.397321899882416,0.5678822383820282,0.5810827278675782,,,0.4915048768614432,0.5607670656385669,0.6331554480534602,0.3590936560654448,0.37398849099167,0.3653132898169732,0.3453538133220987,,0.4049729569359664,0.4169875293291718,0.4037901863548133,0.4775492684042234,0.4999835154166686,0.4717743439420218,0.4302674365188709,0.4544329761890096,0.4362035652978671,0.4286958002211776,0.5306006026184067
alexnet+features.4+imagenet_V2_transform+ridge,0.6695430494093872,0.6893016907516977,0.5951331147363758,0.5974394857219891,0.5519116545909035,0.5129829927363863,0.4232271726911665,0.2920299143884716,0.3132620843118988,0.3497925552847304,,0.3352059632239342,0.3475168549863371,0.3712951596306173,,,0.3660211757664072,0.408648293343782,0.522772125535658,0.3887808259849583,0.2233603839021867,0.2103707261431714,0.1784799029199917,,0.5541262532061055,0.4404441526980412,0.3792518984052729,0.3702337952933319,0.3315800353542572,0.2921525840083874,0.2909252694919119,0.3669387772394601,0.2978826568547627,0.5373310541364653,0.3800665548483232
alexnet+features.4+imagenet_transform_alt+linear,0.6676849012170342,0.682451459966659,0.5716269064273221,0.5688172565131397,0.5149759587380164,0.4928708125119148,0.3475267707491372,0.1970406252778073,0.210673755277007,0.2388954835071903,,0.270425073920758,0.2339118538135719,0.2767454584421827,,,0.2584575456442274,0.2956087822361139,0.4370096271912891,0.3331574213790427,0.1436814098144292,0.1260930000418018,0.0945775663119632,,0.508226691089236,0.3726712268567996,0.305566113517406,0.2713513584538923,0.2213844496283254,0.194936483937746,0.1769028259385767,0.2640245636975081,0.1895626541352842,0.4773533920350304,0.2515894541783699
alexnet+features.4+imagenet_transform_alt+ridge,0.5876279112760214,0.6085154601729827,0.5495967194220878,0.57225181476903,0.5208755297486679,0.4923934590228411,0.421139766955697,0.2453176446447462,0.2756983383686973,0.2937046718136634,,0.3193278477679349,0.294605816742352,0.2992016713364303,,,0.3377560654914817,0.3830409357356853,0.4918529025737423,0.3908132686353656,0.2129222772424608,0.2121873078908505,0.1794118128428371,,0.5248450576956761,0.4292097421306076,0.3655266472082538,0.3503021334991954,0.2998299629365049,0.2476458409506659,0.2661340695962072,0.3351901264040531,0.2764430526948092,0.5103216853768757,0.3724137311981847
alexnet+features.7+imagenet_V2_transform+ridge,0.613060324316573,0.6570290583878193,0.6026226196251223,0.6259616221918924,0.5744001933136221,0.5495228078178889,0.4931103559229042,0.3982257280649359,0.4223373661801574,0.4711729404606923,,0.4111500575482029,0.4721391056667364,0.4977086970513338,,,0.4391101480553968,0.493347849444207,0.6010218540649357,0.4406905496450705,0.3060578113010283,0.276820882692837,0.2603580242732868,,0.5693901770945083,0.4953347839720167,0.4474596625150743,0.4437071347619773,0.423251449626489,0.3966375608780273,0.3626793594606927,0.4497334386123816,0.380210382821722,0.5715250821373666,0.477474224748031
alexnet+features.7+imagenet_transform_alt+linear,0.6332040410914748,0.653105804262546,0.5921221901513516,0.602966262412682,0.5418012270714582,0.5059934534853665,0.3966663874511569,0.2854500590587993,0.2748743797488662,0.3300448482998783,,0.3181164649648224,0.3264063619341432,0.4006209720231867,,,0.3054348062678248,0.3445543442741765,0.4625601292758627,0.3600947801754564,0.1967424630414827,0.1575317758300054,0.1350704358331462,,0.5123787041431811,0.4099026908468623,0.3463282688379621,0.3280862999679249,0.2710487483968347,0.2750074324169683,0.2298555140252088,0.3214851147223969,0.2376247816703823,0.4866937824765998,0.3110454422402114
alexnet+features.7+imagenet_transform_alt+ridge,0.6603682929886666,0.682802579932935,0.63806553929723,0.6565671552368867,0.5996997964673483,0.5640876387359529,0.4745060190694116,0.3493055558042313,0.3667089398791546,0.4154156138915902,,0.3849793168047886,0.4028801707935212,0.4494501524455149,,,0.3968263824649735,0.4384090079840441,0.5591526403409665,0.4426260726924979,0.2525682875357393,0.2302641573871817,0.2096409598322949,,0.5840783980666714,0.4849782894751147,0.4300286732155764,0.4092910525570014,0.3608431801893151,0.3445240709181862,0.313627240210833,0.4077983156861301,0.3258459459078967,0.5682297271998755,0.4155619465112865
alexnet+features.9+imagenet_V2_transform+ridge,0.5245042524539588,0.5725330053135708,0.550818972897818,0.5923224238921306,0.5326588221094427,0.5229994794543195,0.4966036223965139,0.4427809437290685,0.4775123070603957,0.5223182359891503,,0.4191736061955508,0.5266656312356959,0.5440581381023626,,,0.4804442958899395,0.5510023903096148,0.6428333418495155,0.4374373785848083,0.3386784893317538,0.3216237103658589,0.2913949931092593,,0.5202439865533692,0.4831839716595694,0.4632105322439788,0.4833465340473954,0.4765359046248064,0.4419976657166362,0.4109483509419814,0.4743792484647573,0.4256995536778698,0.5361296649092442,0.5177345234087251
alexnet+features.9+imagenet_transform_alt+linear,0.571411155166043,0.6008574881770603,0.5571258934080728,0.5716078125054374,0.4991227458245232,0.4893684932095418,0.3818320692831369,0.3088125492692719,0.2810995833718129,0.3652788234634924,,0.3217221915405679,0.348907687085841,0.430304823257379,,,0.3014837145072088,0.3607539677379159,0.4757447781355772,0.3603998349112935,0.2032809273865281,0.1725536491044421,0.144925016752339,,0.4811024584981377,0.3938586075249948,0.3407357328955337,0.3349758493065296,0.282163533202333,0.29186524769935,0.2355815642493628,0.3268732689652337,0.2442570371835431,0.4712935673508389,0.3182996553013611
alexnet+features.9+imagenet_transform_alt+ridge,0.5886093882205647,0.621567300835553,0.6069074164822632,0.6271976584293778,0.5695837533568848,0.545587185287081,0.4840047395083436,0.3970414057045232,0.4154796988148608,0.4668009974993936,,0.3989182985898759,0.4563658014069774,0.5009933595437241,,,0.4310412997845924,0.4912828182259524,0.5968081656834682,0.4460436549181653,0.2837017676741276,0.2722473614630688,0.241353505187178,,0.5539252653792219,0.488997465937029,0.4466443769036524,0.4444024766001984,0.4086337259537806,0.392228408312334,0.3532412098955109,0.4382975590246511,0.3675543138634345,0.5574148520077715,0.458388727291526
efficientnetb2+avgpool+efficientnetb2_transform+ridge,0.1431222426102171,0.1237177440223592,0.1267945081855906,0.1347744316128939,0.1412718025946206,0.1682675441040048,0.232140392000088,0.5225755247884143,0.4905639378048393,0.5895079409598337,,0.2277900965219477,0.5536576305386715,0.6442212957350294,,,0.4290534386189185,0.5736024245266222,0.6403356317636318,0.1232154240982705,0.4064374103846773,0.4077743286728238,0.4063243694251252,,0.143130641710532,0.2004940506431647,0.2512926420138437,0.3156707182678551,0.4942278398538643,0.5197610896362701,0.4060102365924236,0.3628955204362889,0.393337536473631,0.1557177533188983,0.5002791994248373
efficientnetb2+features.3.0.block.2+efficientnetb2_transform+ridge,0.5788005675834071,0.6036160291419062,0.5292262696775406,0.5462268470512628,0.5045953643650535,0.4850403893084412,0.4120474237731883,0.2345808814328016,0.2728551591719412,0.2719272372222315,,0.31738670581114,0.283097592438112,0.2865457543641521,,,0.3564848556196577,0.4209188217169237,0.5383684168514623,0.3725384662396221,0.2208787110371365,0.2286699951295773,0.1936461667270464,,0.5104303935020993,0.4161759247168115,0.3562402147551647,0.3571456516953848,0.3096311998339833,0.2390367114458182,0.282564931499341,0.3455221653530527,0.2943751388349006,0.5120280516241618,0.4271632786522175
efficientnetb2+features.3.2.block.3+efficientnetb2_transform+ridge,0.3576120797328904,0.393379983327919,0.3798598801803278,0.453191826117392,0.3716213992746232,0.3867785680510757,0.3404554508101588,0.2532311696647371,0.2816168301591987,0.2974397946467002,,0.2294444505091831,0.3081048496220177,0.3057062655667787,,,0.31547703915749,0.3589093686793447,0.4421762633995107,0.2486385209529199,0.2006996632418652,0.1963018770837376,0.1822674950730148,,0.3723072435763786,0.3076847266683185,0.2819818494943669,0.3359439736779225,0.2857797416020177,0.2550320221978133,0.2475671035284211,0.2958698834434191,0.2568411247678543,0.3844595766016945,0.3284767112442853
efficientnetb2+features.4.1.block.3+efficientnetb2_transform+ridge,0.4308546964890974,0.4677744286701514,0.4720131037574371,0.5114452357885303,0.4590243731074264,0.4591309756424523,0.444480169343137,0.3510319431472311,0.3709199976915398,0.4044216592240808,,0.3516824535887402,0.4222321084361843,0.424938760997467,,,0.4149378252247802,0.4664902079039514,0.5948081986116058,0.3717529903906579,0.2633565369332586,0.2491800088064454,0.2492460983809653,,0.4547068073747466,0.4048485274477224,0.3880784488812469,0.4234504785757952,0.3830097595742922,0.3551470488765789,0.3402806004945055,0.392829259547619,0.3492890587900987,0.4710567922918459,0.4371053428981837
efficientnetb2+features.5.1.block.2+efficientnetb2_transform+ridge,0.5787174338093121,0.6157149073220801,0.6374481237171041,0.6441756644150667,0.6147974713161716,0.5837151080608162,0.5669877438104348,0.5251812231048875,0.5381303153313817,0.6104658916157528,,0.5123259308858119,0.6236621353634807,0.6412154666392991,,,0.515439470544536,0.5836741147956515,0.6963123376834511,0.5158624167321351,0.3922069842355826,0.3769253502854655,0.3362103095170553,,0.5785996127502766,0.5520875151251866,0.5193159077761279,0.5180799036630321,0.5191220558474834,0.5222189070612001,0.4403440257485612,0.5257853207748303,0.4590041659890801,0.5948902127658025,0.5718525606692388
efficientnetb2+features.6.4.block.3+efficientnetb2_transform+ridge,0.2605837389828517,0.2442680183859911,0.320159366135491,0.3183957160014809,0.3015938449036579,0.3256965713858271,0.3837523486695118,0.5297088246886246,0.4971182918515844,0.5959520686548834,,0.3626721534347193,0.5962601361287909,0.6152685272762525,,,0.4763968176867033,0.5527613858153946,0.6361451402831348,0.2895509311021364,0.4067801663782251,0.4044492210694235,0.3178386646773606,,0.2798991424982346,0.3425764877872823,0.3677959872402402,0.4368608133978093,0.4868696070255666,0.5312698466127235,0.4101841423222555,0.4151253954833837,0.4154897698280715,0.3046725254608039,0.5524081795008955
